Anno,Codice_Istat_Provincia,Provincia,Codice_Istat_Comune,Comune,Totale_residenti_al_31_12,Indice_di_Lesivita,Indice_di_Pericolosita,Indice_di_Mortalita
2010,12,VARESE,12026,BUSTO ARSIZIO,81760,135.05,1.25,1.72
2010,12,VARESE,12040,CASSANO MAGNAGO,21595,148.75,1.65,2.50
2010,12,VARESE,12070,GALLARATE,51751,138.29,0.41,0.57
2010,12,VARESE,12119,SARONNO,39161,130.41,0.78,1.03
2010,12,VARESE,12133,VARESE,81579,134.77,1.57,2.16
2010,13,COMO,13041,CANTU',39540,153.91,0.51,0.78
2010,13,COMO,13075,COMO,85263,126.80,0.49,0.62
2010,13,COMO,13143,MARIANO COMENSE,23890,121.18,0.00,0.00
2010,14,SONDRIO,14061,SONDRIO,22365,118.75,2.56,3.13
2010,15,MILANO,15002,ABBIATEGRASSO,32035,133.08,0.00,0.00
2010,15,MILANO,15027,BOLLATE,36467,137.60,0.00,0.00
2010,15,MILANO,15032,BRESSO,26399,131.52,0.82,1.09
2010,15,MILANO,15036,BUCCINASCO,26937,119.44,0.00,0.00
2010,15,MILANO,15070,CERNUSCO SUL NAVIGLIO,31058,131.07,0.00,0.00
2010,15,MILANO,15074,CESANO BOSCONE,23935,122.47,1.80,2.25
2010,15,MILANO,15077,CINISELLO BALSAMO,74150,133.26,0.51,0.68
2010,15,MILANO,15081,COLOGNO MONZESE,47794,129.91,1.02,1.34
2010,15,MILANO,15086,CORMANO,20270,130.84,0.71,0.93
2010,15,MILANO,15087,CORNAREDO,20546,117.74,5.19,6.45
2010,15,MILANO,15093,CORSICO,34507,126.67,1.55,2.00
2010,15,MILANO,15105,GARBAGNATE MILANESE,27193,135.80,0.90,1.23
2010,15,MILANO,15116,LAINATE,25343,137.11,0.00,0.00
2010,15,MILANO,15118,LEGNANO,59147,140.82,0.58,0.82
2010,15,MILANO,15130,MAGENTA,23513,132.89,0.98,1.32
2010,15,MILANO,15146,MILANO,1324110,134.83,0.35,0.48
2010,15,MILANO,15157,NOVATE MILANESE,20201,144.58,0.00,0.00
2010,15,MILANO,15166,PADERNO DUGNANO,47695,133.05,0.95,1.27
2010,15,MILANO,15168,PARABIAGO,26952,124.72,0.89,1.12
2010,15,MILANO,15171,PESCHIERA BORROMEO,22774,144.64,1.22,1.79
2010,15,MILANO,15175,PIOLTELLO,36369,135.96,0.82,1.12
2010,15,MILANO,15182,RHO,50686,141.20,1.12,1.60
2010,15,MILANO,15189,ROZZANO,41363,143.09,0.38,0.55
2010,15,MILANO,15192,SAN DONATO MILANESE,32702,146.28,0.56,0.83
2010,15,MILANO,15195,SAN GIULIANO MILANESE,36871,155.56,0.34,0.53
2010,15,MILANO,15205,SEGRATE,34352,139.60,0.95,1.34
2010,15,MILANO,15206,SENAGO,21273,127.42,1.25,1.61
2010,15,MILANO,15209,SESTO SAN GIOVANNI,81130,128.44,2.17,2.84
2010,16,BERGAMO,16024,BERGAMO,119551,130.02,0.43,0.56
2010,16,BERGAMO,16091,DALMINE,23266,140.91,0.80,1.14
2010,16,BERGAMO,16198,SERIATE,24297,159.60,1.86,3.03
2010,16,BERGAMO,16219,TREVIGLIO,29034,141.89,0.47,0.68
2010,17,BRESCIA,17029,BRESCIA,193879,141.67,0.42,0.60
2010,17,BRESCIA,17067,DESENZANO DEL GARDA,27229,142.95,2.19,3.21
2010,17,BRESCIA,17096,LUMEZZANE,23828,143.24,0.00,0.00
2010,17,BRESCIA,17113,MONTICHIARI,23339,150.56,0.74,1.12
2010,18,PAVIA,18110,PAVIA,71142,137.30,0.34,0.47
2010,18,PAVIA,18177,VIGEVANO,63700,136.84,1.02,1.40
2010,18,PAVIA,18182,VOGHERA,39937,139.25,0.77,1.08
2010,19,CREMONA,19035,CREMA,34144,125.55,0.00,0.00
2010,19,CREMONA,19036,CREMONA,72147,125.71,0.69,0.87
2010,20,MANTOVA,20017,CASTIGLIONE DELLE STIVIERE,22700,149.18,2.15,3.28
2010,20,MANTOVA,20030,MANTOVA,48612,131.65,0.76,1.01
2010,20,MANTOVA,20065,SUZZARA,20648,136.11,0.00,0.00
2010,97,LECCO,97042,LECCO,48114,117.31,0.30,0.35
2010,98,LODI,98031,LODI,44401,142.94,1.62,2.35
2010,108,MONZA E DELLA BRIANZA,108012,BRUGHERIO,33484,116.94,0.68,0.81
2010,108,MONZA E DELLA BRIANZA,108019,CESANO MADERNO,37291,128.68,0.00,0.00
2010,108,MONZA E DELLA BRIANZA,108023,DESIO,40661,117.90,0.00,0.00
2010,108,MONZA E DELLA BRIANZA,108024,GIUSSANO,24672,142.50,0.58,0.83
2010,108,MONZA E DELLA BRIANZA,108027,LIMBIATE,35168,110.00,1.00,1.11
2010,108,MONZA E DELLA BRIANZA,108028,LISSONE,42474,113.25,0.58,0.66
2010,108,MONZA E DELLA BRIANZA,108030,MEDA,23221,128.92,0.93,1.20
2010,108,MONZA E DELLA BRIANZA,108033,MONZA,122712,118.08,0.87,1.04
2010,108,MONZA E DELLA BRIANZA,108034,MUGGIO',23433,115.52,1.47,1.72
2010,108,MONZA E DELLA BRIANZA,108035,NOVA MILANESE,23152,113.75,0.00,0.00
2010,108,MONZA E DELLA BRIANZA,108039,SEREGNO,43163,115.23,0.00,0.00
2010,108,MONZA E DELLA BRIANZA,108040,SEVESO,22877,117.07,0.00,0.00
2010,108,MONZA E DELLA BRIANZA,108050,VIMERCATE,25758,128.28,1.59,2.07
2011, 18,PAVIA,18182,VOGHERA,38020,139.11,0.71,0.99
2011, 108,MONZA E DELLA BRIANZA,108024,GIUSSANO,24461,125.76,1.19,1.52
2011, 98,LODI,98031,LODI,43231,140.00,0.35,0.49
2011, 17,BRESCIA,17096,LUMEZZANE,23354,121.95,1.96,2.44
2011, 15,MILANO,15189,ROZZANO,39882,135.75,0.41,0.56
2011, 97,LECCO,97042,LECCO,46673,126.87,0.29,0.37
2011, 108,MONZA E DELLA BRIANZA,108035,NOVA MILANESE,22261,125.93,0.00,0.00
2011, 108,MONZA E DELLA BRIANZA,108030,MEDA,23068,123.73,1.35,1.69
2011, 15,MILANO,15116,LAINATE,24984,133.03,2.03,2.75
2011, 15,MILANO,15118,LEGNANO,57707,137.82,1.12,1.55
2011, 20,MANTOVA,20030,MANTOVA,46547,136.51,0.00,0.00
2011, 19,CREMONA,19035,CREMA,33086,138.18,1.30,1.82
2011, 12,VARESE,12040,CASSANO MAGNAGO,21400,141.76,1.53,2.20
2011, 15,MILANO,15205,SEGRATE,33458,120.92,0.00,0.00
2011, 15,MILANO,15166,PADERNO DUGNANO,46489,139.05,0.68,0.95
2011, 15,MILANO,15195,SAN GIULIANO MILANESE,35835,133.93,0.44,0.60
2011, 15,MILANO,15093,CORSICO,33640,127.50,0.00,0.00
2011, 12,VARESE,12119,SARONNO,38644,134.31,0.00,0.00
2011, 108,MONZA E DELLA BRIANZA,108050,VIMERCATE,25334,140.82,0.00,0.00
2011, 108,MONZA E DELLA BRIANZA,108034,MUGGIO',23270,129.03,0.00,0.00
2011, 20,MANTOVA,20017,CASTIGLIONE DELLE STIVIERE,22082,123.08,4.00,5.13
2011, 16,BERGAMO,16024,BERGAMO,115374,130.79,0.57,0.74
2011, 12,VARESE,12133,VARESE,79405,136.41,1.00,1.38
2011, 13,COMO,13041,CANTU',38716,140.88,1.53,2.19
2011, 15,MILANO,15182,RHO,49935,136.94,0.81,1.12
2011, 15,MILANO,15002,ABBIATEGRASSO,30923,133.33,1.18,1.59
2011, 15,MILANO,15206,SENAGO,20914,123.73,0.00,0.00
2011, 108,MONZA E DELLA BRIANZA,108019,CESANO MADERNO,36937,125.68,0.00,0.00
2011, 15,MILANO,15070,CERNUSCO SUL NAVIGLIO,30645,126.32,0.00,0.00
2011, 15,MILANO,15105,GARBAGNATE MILANESE,26360,141.18,0.83,1.18
2011, 15,MILANO,15077,CINISELLO BALSAMO,70880,130.57,0.00,0.00
2011, 15,MILANO,15036,BUCCINASCO,26492,135.59,1.23,1.69
2011, 17,BRESCIA,17067,DESENZANO DEL GARDA,26849,145.86,0.43,0.64
2011, 108,MONZA E DELLA BRIANZA,108012,BRUGHERIO,33232,136.94,0.00,0.00
2011, 18,PAVIA,18110,PAVIA,68352,131.62,0.96,1.28
2011, 17,BRESCIA,17029,BRESCIA,189085,134.00,1.11,1.51
