Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Simone Bernardi,M,SBD,Raw,26.5,24-34,24-39,Senior,107.18,120,225,235,242.5,,242.5,140,-145,145,,145,245,-260,260,,260,647.5,15,387.33,384.22,366.99,79.19,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Amedeo Olivieri,M,SBD,Raw,38.5,35-39,24-39,Senior,119.76,120,230,-242.5,-250,,230,160,167.5,172.5,,172.5,245,260,-275,,260,662.5,13,380.73,381.06,365.15,77.08,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Francesco Tironi,M,SBD,Raw,28.5,24-34,24-39,Senior,117.34,120,255,270,-275,,270,160,167.5,175,,175,270,285,300,,300,745,7,431.11,430.64,412.49,87.46,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Andrew Emmerich,M,SBD,Raw,29.5,24-34,24-39,Senior,95.04,105,130,140,150,,150,90,95,100,,100,197.5,210,-225,,210,460,45,289.68,286.08,273.59,59.55,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Simone Zamproni,M,SBD,Raw,32.5,24-34,24-39,Senior,99.97,105,145,155,160,,160,100,105,-110,,105,175,187.5,200,,200,465,44,286.25,283.03,270.32,58.75,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Edoardo Bioò,M,SBD,Raw,23.5,24-34,24-39,Senior,103.49,105,167.5,177.5,187.5,,187.5,110,117.5,-122.5,,117.5,185,-195,200,,200,505,41,306.37,303.33,289.64,62.77,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Nathan Pirani,M,SBD,Raw,25.5,24-34,24-39,Senior,99.8,105,170,-177.5,182.5,,182.5,125,132.5,-135,,132.5,205,220,227.5,,227.5,542.5,38,334.21,330.42,315.60,68.60,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Giulio Sabellini,M,SBD,Raw,26.5,24-34,24-39,Senior,98.44,105,190,-200,205,,205,110,117.5,125,,125,215,-230,-230,,215,545,37,337.77,333.81,318.93,69.37,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Saverio Lavoratori,M,SBD,Raw,24.5,24-34,24-39,Senior,93.67,105,187.5,197.5,207.5,,207.5,117.5,-125,125,,125,190,205,220,,220,552.5,35,350.32,345.90,330.98,72.03,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Marko Pema,M,SBD,Raw,,,,Senior,94.22,105,180,187.5,195,,195,142.5,147.5,152.5,,152.5,230,240,-250,,240,587.5,33,371.48,366.82,350.91,76.37,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Cosimo Luigi Mattei,M,SBD,Raw,,,,Senior,101.44,105,195,202.5,210,,210,115,122.5,-125,,122.5,237.5,247.5,260,,260,592.5,32,362.47,358.57,342.41,74.35,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
